Jahr	<=10	>10-40	>40-100	Nicht_Wohngebaeude_Aussenbereich	sonstige_anlagen_bis_100
01.01.17	12,3	11,96	10,69	8,51	8,51
01.02.17	12,3	11,96	10,69	8,51	8,51
01.03.17	12,3	11,96	10,69	8,51	8,51
01.04.17	12,3	11,96	10,69	8,51	8,51
01.05.17	12,27	11,93	10,66	8,49	8,49
01.06.17	12,24	11,9	10,63	8,47	8,47
01.07.17	12,2	11,87	10,61	8,44	8,44
01.08.17	12,2	11,87	10,61	8,44	8,44
01.09.17	12,2	11,87	10,61	8,44	8,44
01.10.17	12,2	11,87	10,61	8,44	8,44
01.11.17	12,2	11,87	10,61	8,44	8,44
01.12.17	12,2	11,87	10,61	8,44	8,44
01.01.18	12,2	11,87	10,61	8,44	8,44
01.02.18	12,2	11,87	10,61	8,44	8,44
01.03.18	12,2	11,87	10,61	8,44	8,44
01.04.18	12,2	11,87	10,61	8,44	8,44
01.05.18	12,2	11,87	10,61	8,44	8,44
01.06.18	12,2	11,87	10,61	8,44	8,44
01.07.18	12,2	11,87	10,61	8,44	8,44
01.08.18	12,08	11,74	10,5	8,35	8,35
01.09.18	11,95	11,62	10,39	8,27	8,27
01.10.18	11,83	11,5	10,28	8,18	8,18
01.11.18	11,71	11,38	10,17	8,09	8,09
01.12.18	11,59	11,27	10,07	8,01	8,01
01.01.19	11,47	11,15	9,96	7,93	7,93
01.02.19	11,35	11,03	9,47	7,84	7,84
01.03.19	11,23	10,92	8,99	7,76	7,76
01.04.19	11,11	10,81	8,5	7,68	7,68
01.05.19	10,95	10,65	8,38	7,57	7,57
01.06.19	10,79	10,5	8,25	7,45	7,45
01.07.19	10,64	10,34	8,13	7,34	7,34
01.08.19	10,48	10,19	8,01	7,24	7,24
01.09.19	10,33	10,04	7,89	7,13	7,13
01.10.19	10,18	9,9	7,78	7,02	7,02
01.11.19	10,08	9,79	7,7	6,95	6,95
01.12.19	9,97	9,69	7,62	6,88	6,88
01.01.20	9,87	9,59	7,54	6,8	6,8
01.02.20	9,72	9,45	7,42	6,7	6,7
01.03.20	9,58	9,31	7,31	6,6	6,6
01.04.20	9,44	9,18	7,21	6,5	6,5
01.05.20	9,3	9,04	7,1	6,41	6,41
01.06.20	9,17	8,91	7	6,31	6,31
01.07.20	9,03	8,78	6,89	6,22	6,22
01.08.20	8,9	8,65	6,79	6,13	6,13
01.09.20	8,77	8,53	6,69	6,03	6,03
01.10.20	8,64	8,4	6,59	5,94	5,94
